GeographyName,ElectionName,DemCandidate,RepCandidate,DemEstimate,RepEstimate,DemChance,RepChance,Flip,DemLow95,DemHigh95,RepLow95,RepHigh95,DemIncumbent,RepIncumbent,DemParty,RepParty,DemConfirmed,RepConfirmed,Link,MapLink,MarginLink
Montana,Montana,Bodnar,Alme,0.403,0.597,0.0053,0.9947,0,0.340603138128887,0.465451173261849,0.534548826738151,0.659396861871113,0,0,I,R,0,1,https://seattally.com/#/senate/Montana,https://datawrapper.dwcdn.net/Qnl9M/1/,https://datawrapper.dwcdn.net/js8FS/1/
Nebraska,Nebraska,Osborn,Ricketts,0.4555,0.5445,0.1054,0.8946,0,0.396999140805222,0.513989117357139,0.486010882642861,0.603000859194778,0,1,I,R,1,1,https://seattally.com/#/senate/Nebraska,https://datawrapper.dwcdn.net/FjBVc/1/,https://datawrapper.dwcdn.net/x9rhn/1/
New Hampshire,New Hampshire,Pappas,Sununu,0.5279,0.4721,0.7799,0.2201,0,0.468464333008042,0.587268770709809,0.412731229290191,0.531535666991958,0,0,D,R,0,0,https://seattally.com/#/senate/New Hampshire,https://datawrapper.dwcdn.net/uxoKJ/1/,https://datawrapper.dwcdn.net/3U8Wo/1/
New Jersey,New Jersey,Booker,Murphy,0.5829,0.4171,0.9633,0.0367,0,0.506740414323385,0.659122682862961,0.340877317137039,0.493259585676615,1,0,D,R,1,1,https://seattally.com/#/senate/New Jersey,https://datawrapper.dwcdn.net/fq5wz/1/,https://datawrapper.dwcdn.net/F74Ob/1/
New Mexico,New Mexico,Lujan,Marker,0.5779,0.4221,0.9833,0.0167,0,0.517653884683814,0.638126373734343,0.361873626265657,0.482346115316186,1,0,D,R,1,1,https://seattally.com/#/senate/New Mexico,https://datawrapper.dwcdn.net/WlskN/1/,https://datawrapper.dwcdn.net/YvyD9/1/
North Carolina,North Carolina,Cooper,Whatley,0.5364,0.4636,0.8493,0.1507,1,0.478438795767497,0.594430860342066,0.405569139657934,0.521561204232503,0,0,D,R,1,1,https://seattally.com/#/senate/North Carolina,https://datawrapper.dwcdn.net/iRszJ/2/,https://datawrapper.dwcdn.net/eP9bN/1/
Oklahoma,Oklahoma,Thomas,Hern,0.3579,0.6421,0.0003,0.9997,0,0.289795403319872,0.426071387502076,0.573928612497924,0.710204596680128,0,0,D,R,1,1,https://seattally.com/#/senate/Oklahoma,https://datawrapper.dwcdn.net/L98i8/1/,https://datawrapper.dwcdn.net/k2GgG/1/
Oregon,Oregon,Merkley,Smith,0.617,0.383,0.9941,0.00590000000000002,0,0.540570454162887,0.693527570482173,0.306472429517827,0.459429545837113,1,0,D,R,1,1,https://seattally.com/#/senate/Oregon,https://datawrapper.dwcdn.net/9qyeD/1/,https://datawrapper.dwcdn.net/AZoAt/1/
Rhode Island,Rhode Island,Reed,McKay,0.6353,0.3647,0.9999,9.9999999999989e-05,0,0.575982415433659,0.694557767723326,0.305442232276674,0.424017584566341,1,0,D,R,0,0,https://seattally.com/#/senate/Rhode Island,https://datawrapper.dwcdn.net/LmyvC/1/,https://datawrapper.dwcdn.net/yTqPD/1/
South Carolina,South Carolina,Andrews,Graham,0.4514,0.5486,0.0809,0.9191,0,0.394212713461031,0.508543123906982,0.491456876093018,0.605787286538969,0,1,D,R,1,1,https://seattally.com/#/senate/South Carolina,https://datawrapper.dwcdn.net/YLc6F/1/,https://datawrapper.dwcdn.net/JXypA/1/
South Dakota,South Dakota,Bengs,Rounds,0.4149,0.5851,0.0116,0.9884,0,0.353244434319578,0.476524253180273,0.523475746819727,0.646755565680422,0,1,I,R,1,1,https://seattally.com/#/senate/South Dakota,https://datawrapper.dwcdn.net/2jBLa/2/,https://datawrapper.dwcdn.net/31YGU/1/
Tennessee,Tennessee,Bradshaw,Hagerty,0.3893,0.6107,0.0084,0.9916,0,0.313161287749156,0.465527305317037,0.534472694682963,0.686838712250844,0,1,D,R,1,1,https://seattally.com/#/senate/Tennessee,https://datawrapper.dwcdn.net/pRFDI/1/,https://datawrapper.dwcdn.net/cygWM/1/
Texas,Texas,Talarico,Paxton,0.4976,0.5024,0.4723,0.5277,0,0.441539809284165,0.553728670554586,0.446271329445414,0.558460190715835,0,0,D,R,1,1,https://seattally.com/#/senate/Texas,https://datawrapper.dwcdn.net/Gepco/2/,https://datawrapper.dwcdn.net/jgtK5/1/
Virginia,Virginia,Warner,Mizusawa,0.5977,0.4023,0.9961,0.00390000000000001,0,0.537186766516166,0.658146970177922,0.341853029822078,0.462813233483834,1,0,D,R,1,1,https://seattally.com/#/senate/Virginia,https://datawrapper.dwcdn.net/8h0Gr/1/,https://datawrapper.dwcdn.net/U34bW/1/
West Virginia,West Virginia,Anderson,Capito,0.3211,0.6789,0.0001,0.9999,0,0.242536535725247,0.399645461948323,0.600354538051677,0.757463464274753,0,1,D,R,1,1,https://seattally.com/#/senate/West Virginia,https://datawrapper.dwcdn.net/prZ2y/1/,https://datawrapper.dwcdn.net/WH9HB/1/
Wyoming,Wyoming,Byrd,Hageman,0.3202,0.6798,0.0005,0.9995,0,0.230382754012876,0.409952349747952,0.590047650252048,0.769617245987124,0,0,D,R,1,1,https://seattally.com/#/senate/Wyoming,https://datawrapper.dwcdn.net/EkBqQ/1/,https://datawrapper.dwcdn.net/VzloJ/1/
Florida,Florida Special,Nixon,Moody,0.4679,0.5321,0.1971,0.8029,0,0.406033492518386,0.529848244293243,0.470151755706757,0.593966507481614,0,1,D,R,1,1,https://seattally.com/#/senate/Florida Special,https://datawrapper.dwcdn.net/0MGGI/2/,https://datawrapper.dwcdn.net/rhkNh/1/
Ohio,Ohio Special,Brown,Husted,0.5146,0.4854,0.6653,0.3347,1,0.458235602675289,0.571046596145837,0.428953403854163,0.541764397324711,0,1,D,R,1,1,https://seattally.com/#/senate/Ohio Special,https://datawrapper.dwcdn.net/9RRwb/1/,https://datawrapper.dwcdn.net/yZOXN/1/
