ElectionType,ElectionName,GeographyType,GeographyName,CountyName,FIPS,Vote,TotalVote
Senate,Alabama,State,Alabama,Autauga County,1001,0.327132057742321,20322.3594
Senate,Alabama,State,Alabama,Baldwin County,1003,0.258402736193109,87868.7496
Senate,Alabama,State,Alabama,Barbour County,1005,0.498229819114356,7106.2392
Senate,Alabama,State,Alabama,Bibb County,1007,0.222539876567646,6689.2098
Senate,Alabama,State,Alabama,Blount County,1009,0.119731399730425,20327.454
Senate,Alabama,State,Alabama,Bullock County,1011,0.783881866837637,2972.3352
Senate,Alabama,State,Alabama,Butler County,1013,0.456963179498351,6130.2594
Senate,Alabama,State,Alabama,Calhoun County,1015,0.335960973725186,35011.5468
Senate,Alabama,State,Alabama,Chambers County,1017,0.453747701652316,10273.6248
Senate,Alabama,State,Alabama,Cherokee County,1019,0.154725180936802,9396.6258
Senate,Alabama,State,Alabama,Chilton County,1021,0.175916401837016,14277.9804
Senate,Alabama,State,Alabama,Choctaw County,1023,0.45072963694966,4816.5804
Senate,Alabama,State,Alabama,Clarke County,1025,0.486392157868115,8654.9976
Senate,Alabama,State,Alabama,Clay County,1027,0.188205088421508,4895.9106
Senate,Alabama,State,Alabama,Cleburne County,1029,0.103865036229213,5526.1854
Senate,Alabama,State,Alabama,Coffee County,1031,0.260394539040121,16081.4688
Senate,Alabama,State,Alabama,Colbert County,1033,0.326443716165583,19542.1578
Senate,Alabama,State,Alabama,Conecuh County,1035,0.502248622231651,4368.9834
Senate,Alabama,State,Alabama,Coosa County,1037,0.344913287324665,3810.7608
Senate,Alabama,State,Alabama,Covington County,1039,0.174281587017303,12366.0498
Senate,Alabama,State,Alabama,Crenshaw County,1041,0.28063058104697,4699.4046
Senate,Alabama,State,Alabama,Cullman County,1043,0.122579849201549,31108.3554
Senate,Alabama,State,Alabama,Dale County,1045,0.293125127918404,13799.088
Senate,Alabama,State,Alabama,Dallas County,1047,0.72529879699415,11227.0428
Senate,Alabama,State,Alabama,DeKalb County,1049,0.164067330894906,21390.7698
Senate,Alabama,State,Alabama,Elmore County,1051,0.294312325856224,29947.5144
Senate,Alabama,State,Alabama,Escambia County,1053,0.327763545638506,10806.3744
Senate,Alabama,State,Alabama,Etowah County,1055,0.273521366703637,33245.904
Senate,Alabama,State,Alabama,Fayette County,1057,0.175994132977496,6040.74
Senate,Alabama,State,Alabama,Franklin County,1059,0.167714045938486,8722.683
Senate,Alabama,State,Alabama,Geneva County,1061,0.145582827191343,8966.496
Senate,Alabama,State,Alabama,Greene County,1063,0.82576153101315,2924.3004
Senate,Alabama,State,Alabama,Hale County,1065,0.605836445912112,5267.0886
Senate,Alabama,State,Alabama,Henry County,1067,0.302394013284327,6733.6056
Senate,Alabama,State,Alabama,Houston County,1069,0.318826639095656,31892.9238
Senate,Alabama,State,Alabama,Jackson County,1071,0.179309903764501,16993.4022
Senate,Alabama,State,Alabama,Jefferson County,1073,0.623369338100979,213416.433
Senate,Alabama,State,Alabama,Lamar County,1075,0.151717506742556,4977.4242
Senate,Alabama,State,Alabama,Lauderdale County,1077,0.297081968136521,31320.1452
Senate,Alabama,State,Alabama,Lawrence County,1079,0.234667314609931,11649.8946
Senate,Alabama,State,Alabama,Lee County,1081,0.428724611140957,52269.1404
Senate,Alabama,State,Alabama,Limestone County,1083,0.340028722350345,38186.2104
Senate,Alabama,State,Alabama,Lowndes County,1085,0.74649866201004,4093.875
Senate,Alabama,State,Alabama,Macon County,1087,0.828836167033025,5652.0948
Senate,Alabama,State,Alabama,Madison County,1089,0.527225568862015,140650.2612
